diag_t	n
c("F323", "R630", "R440", "R460", "R410")	3
c("F323", "X610", "T435")	3
c("F323", "X619", "T435")	3
c("F3230", "F220")	3
c("F3230", "R410")	3
c("F3230", "X780", "Z9150", "Z560")	3
c("F329", "F100")	3
c("F329", "F101", "X610", "T424")	3
c("F329", "F111", "X610", "T424")	3
c("F329", "F200")	3
c("F329", "F2000", "F419")	3
c("F329", "F6031")	3
c("F329", "F609", "X619", "T439")	3
c("F329", "F69")	3
c("F329", "S100", "F209", "F609", "X700")	3
c("F329", "T391", "X609")	3
c("F329", "X610", "T391")	3
c("F329", "X610", "Z9150")	3
c("F329", "X619", "T435")	3
c("F329", "X780", "S717", "S518", "T433", "F6031", "X610")	3
c("F329", "Y150")	3
c("F329", "Z630", "F430")	3
c("F329", "Z9150", "X610")	3
c("F331", "F102", "F8410")	3
c("F331", "T424", "X610")	3
c("F331", "X610", "T424")	3
c("F3310", "F323")	3
c("F3310", "T424", "T439", "X610")	3
c("F332", "F101", "X619", "T433")	3
c("F332", "R522", "X620", "T402")	3
c("F332", "X610", "T435")	3
c("F333", "Z911", "R630")	3
c("F339", "Z590", "F121", "F101", "X619", "T433")	3
c("F39", "Z590", "Z653", "F141", "Z911")	3
c("F408", "F432")	3
c("F410", "F3210")	3
c("F410", "S010", "S610", "X815")	3
c("F411", "F329")	3
c("F411", "F4101")	3
c("F411", "F412")	3
c("F411", "F430")	3
c("F411", "R074")	3
c("F411", "Z9150")	3
c("F412", "F100", "F101")	3
c("F412", "F101")	3
c("F412", "F131", "E101")	3
c("F412", "F6031")	3
c("F412", "F701", "N390")	3
c("F412", "X610", "T433")	3
c("F412", "X650", "X600", "Y450", "T391")	3
c("F412", "Z9150", "Z630", "Z911", "F121")	3
c("F418", "F317")	3
c("F419", "F101", "N179", "F6030")	3
c("F419", "F209")	3
c("F419", "F320")	3
c("F419", "F3210")	3
c("F419", "F329")	3
c("F419", "F6031")	3
c("F419", "F609")	3
c("F419", "M549", "Z911", "X619", "T424", "F101", "Z5950", "Z590")	3
c("F419", "R074")	3
c("F419", "X610", "T433")	3
c("F428", "F411")	3
c("F430", "F100")	3
c("F430", "F101", "Z5950", "Z590")	3
c("F430", "F209")	3
c("F430", "F319")	3
c("F430", "F323")	3
c("F430", "F329", "X834", "T68+8")	3
c("F430", "F432")	3
c("F430", "F728", "X611", "T424")	3
c("F430", "F99")	3
